Keyword,,Avg. monthly searches,Competition
evaporative cooler,,50000,High
cooling system,,5000,High
cooling equipment,,5000,Medium
swamp cooler,,5000,High
evaporative air cooler,,5000,High
portable evaporative cooler,,5000,High
portable swamp cooler,,500,High
evaporative air conditioner,,500,High
air cooled,,500,High
air cooling system,,500,Low
evaporative cooling system,,500,High
best evaporative cooler,,500,Medium
best evaporative air cooler,,500,High
window swamp cooler,,500,High
air cooler portable,,500,High
evap cooler,,500,High
honeywell evaporative air cooler,,500,High
